X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
60.575588149986146,0.35432392584888817,82.00008671518674,52.56019304438506,1.0796574327535424,70.22122024669716,56.56789493967237,0.7169887546419402,76.11065402019487,74.81789702804845,-1.4480797710172908,81.77885850282372,82.31789507525116,2.882052385445075,70.44244163164407,78.56789493967237,0.7169887546419358,76.11065402019487
60.57558814685273,0.35432392607430735,82.00008477528405,52.56019302250473,1.0796574318391494,70.2212182786617,56.567894960813376,0.7169887411882389,76.11065302135708,74.81789705158137,-1.4480797669533203,81.77885657236604,82.31789510142602,2.8820523533763844,70.44243962734902,78.56789477778484,0.7169885443090155,76.110652658791
60.57558822309219,0.3543239070330258,82.00007396874508,52.56019289677375,1.079657374133379,70.22120738341853,56.5678950107113,0.7169887211650422,76.11064496893289,74.81789711070218,-1.4480796790494157,81.77884587660773,82.31789530107027,2.88205222044566,70.44242863137264,78.56789431090327,0.7169880243838413,76.11064365076847
60.575588571884865,0.3543238047513235,82.0000417040119,52.56019249856001,1.0796571742384633,70.22117493578956,56.567895082356024,0.7169887120534373,76.11061704120111,74.81789713295491,-1.4480793640211116,81.77881395487553,82.3178958861063,2.8820518374214625,70.44239589987029,78.56789361153095,0.7169872797341198,76.11061432741519
60.5755892112974,0.3543235413203152,81.99997014114807,52.56019153788055,1.0796568662970918,70.22110307000591,56.56789514679892,0.7169887028232873,76.11055116311148,74.81789715990459,-1.4480787671699555,81.77874303871451,82.31789705646902,2.882050908153997,70.44232326110013,78.56789274983416,0.7169862954532019,76.11054664935406
60.57558999577687,0.3543230654172143,81.99983645276076,52.56018966892804,1.0796565185576217,70.22096902257171,56.56789516656565,0.7169886875830221,76.11042460661254,74.81789737625408,-1.4480778503402962,81.7786103829462,82.31789906073445,2.8820490768953686,70.44218764765336,78.56789170167995,0.7169850357967187,76.11041781255858
60.57559096072122,0.3543222851432326,81.99961345853616,52.56018661615147,1.0796561051778246,70.22074568127148,56.567895168441645,0.7169886722363285,76.11021032950867,74.81789789239654,-1.4480764280544471,81.77838900030542,82.31790213154234,2.8820460471248617,70.44196172478304,78.56789042731398,0.7169834435706989,76.1102007101854
60.57559230130237,0.35432105132268005,81.9992701198564,52.560182200337394,1.0796556352191589,70.22040199481356,56.567895173523546,0.7169886617428476,76.10987724137168,74.81789874684125,-1.4480742516570775,81.77804810118407,82.31790636536479,2.8820415796929484,70.44161421967476,78.56788894365822,0.7169815220442233,76.10986430183647
60.57559413351381,0.3543192428658397,81.99877179879975,52.56017631067957,1.0796552403263182,70.21990335219576,56.56789514136051,0.7169886562323763,76.1093907756033,74.81790000274493,-1.4480711200049614,81.77755324780239,82.31791170005148,2.882035426017466,70.44111025785841,78.56788727127511,0.7169792863394933,76.10937401598328
60.5755964535739,0.3543167406511503,81.99808058415094,52.56016887830869,1.0796550970485486,70.21921200250958,56.567895040802895,0.7169886551290078,76.10871311793505,74.81790181516489,-1.4480668319332974,81.77686672588092,82.31791797161831,2.882027321808695,70.44041181620958,78.56788542167197,0.716976745115694,76.10869202435626
60.57559927454972,0.3543133840489645,81.9971556586624,52.560159878488115,1.0796553684916537,70.21828733034378,56.56789489629562,0.7169886601076633,76.1078034646801,74.81790438505331,-1.448061134433647,81.77594796703565,82.31792495696705,2.8820170337584567,70.43947804426352,78.56788339227384,0.7169739018948247,76.10777754642741
60.575602693962416,0.35430900582080266,81.99595358394271,52.560149342813226,1.0796562440342583,70.21708602857495,56.56789473821556,0.7169886722420789,76.10661843542283,74.81790788303557,-1.4480537414507788,81.77475381468385,82.31793236904822,2.882004380862246,70.43826544751579,78.56788115867477,0.7169707494521569,76.10658719388233
60.57560684427458,0.35430344419327575,81.9944285348028,52.560137346391116,1.0796579547672427,70.21556238136101,56.567894571977504,0.71698869026775,76.10511231045317,74.81791244922091,-1.4480443480022722,81.77323873737984,82.3179398520334,2.8819891994062448,70.43672812368116,78.56787870669886,0.7169672869694644,76.10507522726373
60.575611815851396,0.35429652376313847,81.99253251725496,52.560123973843645,1.0796607365695003,70.21366857675712,56.5678943927392,0.7169887131338936,76.10323717319058,74.81791824517136,-1.448032639709351,81.77135503460016,82.31794701517516,2.8819712912575786,70.4348180295022,78.5678760478173,0.7169635347502928,76.10319374962954
60.575617649723405,0.35428805769882604,81.99021557434149,52.56010927738568,1.0796648215774245,70.21135488332192,56.567894195882005,0.7169887421162142,76.10094313860071,74.8179254712635,-1.4480183090852887,81.76905303841797,82.31795348842006,2.881950412033162,70.43248516199058,78.56787319334634,0.7169595198922002,76.10089290454067
60.575624408656786,0.35427785794674327,81.98742599541072,52.56009324905302,1.0796704412231664,70.20856977403625,56.56789398412035,0.7169887795593384,76.09817858371402,74.81793433176466,-1.4480010426349572,81.76628134437162,82.31795896577559,2.881926290260516,70.42967770976138,78.56787013689151,0.7169552504397361,76.09812106605563
60.57563221191735,0.3542657281625273,81.98411049559095,52.56007582611229,1.07967780964244,70.20526010005746,56.5678937714427,0.7169888272965976,76.09489029238372,74.81794501523194,-1.447980501029931,81.7629870058567,82.31796321290359,2.8818986336556724,70.42634222972312,78.56786686619853,0.7169507191970528,76.09482500644687
60.57564118730895,0.35425146318040546,81.98021434443038,52.56005690820014,1.0796871225319797,70.20137127386096,56.56789356791591,0.7169888853014299,76.0910236064964,74.81795771031798,-1.4479563320078617,81.75911564303836,82.31796604672886,2.8818671125647994,70.42242380788159,78.56786337537974,0.7169459177297027,76.09095006290178
