X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
54.69289317204431,-2.5306072944350424,76.11065006723389,58.44289219564567,-0.3655412162038596,70.44244163164407,56.56789212785627,-1.448073031605429,73.27654782591947
54.69289325650918,-2.5306072798485384,76.1106431383997,58.442892289592905,-0.36554133130541683,70.44243443779139,56.567891546806614,-1.4480737865362074,73.2765429395437
54.69289346870799,-2.5306069643418954,76.1106047489845,58.44289300615936,-0.36554180842375705,70.44239497082752,56.56788987106648,-1.4480756526617222,73.2765106077827
54.692893548588586,-2.5306058336352226,76.11049017489282,58.44289510597787,-0.3655431831861256,70.44227749029396,56.567887360865,-1.4480783253754121,73.27640535985395
54.692893645360485,-2.530603691409179,76.11023564120377,58.44289930665172,-0.3655465185436733,70.44201677379256,56.56788426804235,-1.4480818581832433,73.27616244846133
54.69289442200598,-2.530600400726042,76.10975951038408,58.4429065003575,-0.3655530913677384,70.44153002725281,56.56788050598182,-1.4480863793769918,73.27570002488623
54.692896274820825,-2.5305952958756253,76.10896491903112,58.44291752205098,-0.36556396597949187,70.44071914010829,56.56787593199766,-1.448092094232658,73.27492079657982
54.69289934213369,-2.5305874843672314,76.10774135617793,58.44293271791824,-0.36558000083145814,70.43947186707163,56.567870606821614,-1.4480989910143591,73.27371335250098
54.692903850790664,-2.5305762442048243,76.10596521661202,58.44295186477618,-0.36560208829923996,70.43766303553096,56.56786460424948,-1.4481070154398763,73.2719536074585
54.692910357559995,-2.530560853282877,76.10350113483263,58.442974373890124,-0.36563117722035116,70.43515617140649,56.567857965574625,-1.4481161364282513,73.26950578690477
54.692919584039856,-2.5305404033928283,76.10020350103883,58.44299944429002,-0.3656681053283642,70.43180465235056,56.567850681538495,-1.4481263413605183,73.26622351974886
54.69293214310713,-2.5305138676630943,76.09591741545809,58.44302604538598,-0.3657135227424815,70.42745236557661,56.56784266452757,-1.4481376562133557,73.2619510746792
54.692948538255166,-2.5304801511945128,76.0904794540059,58.44305289960255,-0.36576801765637795,70.42193455576253,56.5678338636568,-1.4481500839983945,73.25652428125184
54.69296935015267,-2.530438125254622,76.08371840680897,58.44307860388212,-0.36583230194175653,70.41507878261939,56.567824320095696,-1.4481635519648506,73.24977122491879
54.692995298995434,-2.530386685738345,76.07545600194085,58.44310182929434,-0.36590725364410676,70.40670557135667,56.567814074449736,-1.4481779630314957,73.24151295758038
54.69302711918922,-2.53032470683313,76.06550773395445,58.44312147667722,-0.3659938482712702,70.39662895581694,56.56780310375708,-1.448193288553085,73.23156417943473
54.693065489027525,-2.5302509698087556,76.05368356148567,58.44313670383832,-0.36609313631439094,70.38465711261935,56.567791364034605,-1.4482095546329403,73.21973384088604
54.69311108744522,-2.53016420926212,76.03978829803943,58.44314685231015,-0.3662063027336433,70.37059293826997,56.56777883415335,-1.4482267918588725,73.20582574083062
54.69316462598669,-2.5300631813872845,76.02362199373202,58.44315138470227,-0.3663347059909135,70.35423451829676,56.567765531432805,-1.448245009018439,73.18963903493263
54.69322682365393,-2.5299466529194268,76.00498047890358,58.4431498820078,-0.366479831482029,70.33537558745087,56.56775149723697,-1.448264198141874,73.17096863407873
54.69329840177723,-2.529813357781982,75.98365584833883,58.443142039960655,-0.36664320933561717,70.31380599517406,56.567736752374636,-1.448284362751144,73.14960559365022
54.693380101914215,-2.529661981944747,75.95943677995388,58.44312759346496,-0.36682636875031815,70.28931212477828,56.56772127843226,-1.44830554070582,73.12533750649688
54.693472687516845,-2.5294911813969856,75.93210881071057,58.44310619199633,-0.3670308300952154,70.26167725327407,56.56770505793132,-1.4483277829311412,73.09794884060273
54.693576931591544,-2.529299605860505,75.90145462742667,58.44307731684687,-0.3672580956420737,70.23068186417929,56.567688107535304,-1.4483511127492823,73.06722123260309
54.69369361454612,-2.529085896289431,75.86725434772464,58.44304028402782,-0.367509625818736,70.19610392483075,56.56767045429343,-1.4483755216651706,73.03293376905316
54.69382353274603,-2.5288486633383367,75.82928578388068,58.44299428377524,-0.367786819529825,70.15771914227297,56.56765210101632,-1.4484009959626902,72.99486323369435
54.69396750338203,-2.528586484703298,75.78732467295713,58.442938395298206,-0.3680910175736511,70.11530119123802,56.56763302987345,-1.4484275315123785,72.952784310153
54.69412636123364,-2.5282979238993843,75.74114485941338,58.44287158612039,-0.3684235274885359,70.06862189755729,56.567613226839704,-1.4484551276572248,72.90646977317063
54.694300950680166,-2.5279815393943026,75.69051846002972,58.44279274241304,-0.3687856511776097,70.0174513890399,56.5675926913492,-1.4484837773389627,72.85569068321136
54.69449211774769,-2.527635878357795,75.63521603810779,58.442700734019034,-0.3691787026572218,69.96155823434367,56.567571426898986,-1.448513463916798,72.80021656292296
54.69470070758565,-2.527259474378577,75.5750067701612,58.442594475206846,-0.36960402100464446,69.90070957200885,56.5675494305316,-1.4485441672645492,72.73981554048065
54.69492756874772,-2.5268508539636367,75.5096585819424,58.44247295495573,-0.3700629856824052,69.8346712313945,56.56752669384011,-1.448575874796455,72.67425446935904
54.6951735580171,-2.526408541629135,75.43893825880559,58.442335242937496,-0.3705570294021386,69.76320785052306,56.56750321113704,-1.4486085867578522,72.60329904283711
54.69543953762327,-2.52593105923399,75.36261154876178,58.442180487176095,-0.37108764002132666,69.68608298583635,56.56747898341575,-1.4486423116145857,72.5267139105903
54.695726366949685,-2.5254169232648884,75.28044326521544,58.44200790857485,-0.3716563519199152,69.60305921061864,56.56745401524388,-1.448677058736215,72.44426278786767
